ingredient,first_sentences
sweet-gale,There isn't enough information available to know if sweet gale leaves and branches are safe.
sweet-orange,Sweet orange juice and fruit is  LIKELY SAFE  for most adults when used in food amounts.
sweet-sumach,There isn’t enough information available to know if sweet sumach is safe.
sweet-vernal-grass,Sweet vernal grass is  UNSAFE.
sweet-violet,Sweet violet might be safe for most people when taken by mouth in recommended doses.
sweet-woodruff,Sweet woodruff is  LIKELY SAFE  in when consumed in amounts normally found in food.
syrian-rue,Syrian rue is  POSSIBLY UNSAFE  when taken by mouth in low doses.
tagetes,"Tagetes is safe in food amounts, but there isn't enough information available to know if it is safe in larger medicinal amounts."
tamarind,Tamarind is safe  LIKELY SAFE  when used in food amounts.
tamarix-dioica,There isn't enough information available to know if Tamarix dioica is safe or what the possible side effects might be.
tangerine,There isn't enough reliable information available about tangerine to know if it is safe.
tannic-acid,Tannic acid is safe when used in the amounts found in foods.
tansy,Tansy is  UNSAFE  when taken by mouth.
tansy-ragwort,"There’s a lot of concern about using tansy ragwort as medicine, because it contains chemicals called hepatotoxic pyrrolizidine alkaloids (PAs), which may block  blood  flow in the veins and cause  liver  damage. Hepatotoxic PAs might also cause  cancer  and  birth defects."
tarragon,Tarragon is  LIKELY SAFE  when taken by  mouth  in food amounts.
taumelloolch,Taumelloolch is  UNSAFE  to take by mouth and is considered a poison.
taurine,Taurine is  POSSIBLY SAFE  for adults and children when taken by mouth in appropriate amounts.
tea-tree-oil,"Tea tree oil is  POSSIBLY SAFE  for most people when put on the skin, but it can cause skin irritation and swelling."
teazle,There isn’t enough information available to know if teazle is safe.
terminalia,Terminalia arjuna is  POSSIBLY SAFE  when taken by mouth for 3 months or less.
theacrine,There isn’t enough reliable information available to know if theacrine is safe or what the side effects might be.
theaflavin,There is not enough information available to know if taking theaflavin is safe or what the possible side effects might be.
theanine,"Theanine is  POSSIBLY SAFE  when taken by mouth, short-term."
thiamine-vitamin-b1,"Thiamine is  LIKELY SAFE  when taken by mouth in appropriate amounts, although rare allergic reactions and skin irritation have occurred."
threonine,Threonine is  POSSIBLY SAFE  when doses of up to 4 grams daily are taken by mouth for up to 12 months.
thuja,"Thuja is  LIKELY SAFE  when taken by mouth in food amounts, but there isn't enough information to know if it is safe when used in usual medicinal amounts."
thunder-god-vine,Thunder god vine is  POSSIBLY SAFE  for most people when taken by mouth or applied to the skin in appropriate amounts.
thyme,Thyme is  LIKELY SAFE  when consumed in normal food amounts.
thymus-extract,Thymus extract is  POSSIBLY SAFE  for most people when taken by mouth appropriately.
thyroid-extract,Thyroid extract is  POSSIBLY UNSAFE  when taken by  mouth.
tin,There isn't enough reliable information available about tin to know if it is safe.
tinospora-cordifolia,Tinospora cordifolia seems to be safe when used short-term.
tiratricol,Tiratricol is safe when used by a  healthcare  professional for  thyroid problems.
tocotrienols,There isn't enough reliable information available about Tocotrienols to know if it is safe.
tolu-balsam,Tolu balsam is safe in food amounts and seems safe for use as a medicine when taken by  mouth.
tomato,Tomatoes are safe when used as a food.
tonka-bean,Tonka bean is  UNSAFE.
tormentil,Tormentil is  POSSIBLY SAFE  for most adults when taken by mouth or applied to the  skin.
tragacanth,Tragacanth seems to be safe when taken by  mouth  as a medicine.
trailing-arbutus,Trailing arbutus seems to be safe when used short-term.
transfer-factor,Transfer factors that have been taken from humans are  POSSIBLY SAFE  when used for up to 2 years in adults.
travelers-joy,Traveler's joy is  UNSAFE  for any use.
tree-of-heaven,It is not known if tree of heaven is safe.
tree-tobacco,Tree tobacco is  LIKELY UNSAFE  when taken by  mouth.
tree-turmeric,"Tree turmeric is  POSSIBLY SAFE  when taken as a specific product that also contains milk thistle (Berberol, PharmExtracta)."
tribulus,Tribulus supplements are  POSSIBLY SAFE for most people when taken by mouth for a short period of time.
trichopus-zeylanicus,There isn’t enough reliable information to know if Trichopus zeylanicus is safe for use or what side effects might occur.
tronadora,There isn't enough information available to know if tronadora is safe for use or what side effects might occur.
trumpet-satinash,There isn't enough reliable information available about trumpet satinash to know if it is safe or what the side effects might be.
trypsin,Trypsin seems to be safe when used by  healthcare  professionals for wound cleaning and healing.
tung-seed,Tung seed is  UNSAFE  when taken by  mouth.
turkey-corn,Turkey corn seems to be  UNSAFE.
turmeric,Turmeric is  LIKELY SAFE  when taken by mouth or applied to the skin appropriately for up to 12 months.
turtle-head,"Turtle head might be safe when taken by  mouth , but the possible side effects are not known."
tylophora,There isn't enough reliable information available about Tylophora to know if it is safe or what the side effects might be.
tyrosine,Tyrosine is  LIKELY SAFE  when taken by mouth in food amounts.
umckaloabo,Umckaloabo extract is  LIKELY SAFE  when taken by  mouth  for up to 3 weeks.
usnea,"Usnea is  POSSIBLY SAFE  when used on the skin, though allergic reactions can occur."
uva-ursi,Uva ursi is  POSSIBLY SAFE  for most adults when taken by  mouth  short-term (for up to one month).
uzara,"Uzara might be safe when used by  mouth  for a short time, but the side effects are unknown."
valerian,Valerian is  LIKELY SAFE  for most people when used in medicinal amounts short-term.
vanadium,"Vanadium is  LIKELY SAFE  in adults, if less than 1."
vanilla,Vanilla is  LIKELY SAFE  when taken by  mouth  in amounts commonly found in foods.
verbena,"Verbena is  LIKELY SAFE  for most people when taken by mouth in food amounts and  POSSIBLY SAFE  when taken by mouth in small amounts as part of a combination product containing gentian root, elderflower, sorrel, and cowslip flower (SinuComp, Sinupret)."
veronica,Veronica is safe when taken in food amounts and might be safe when taken by  mouth  as a medicine.
vetiver,Vetiver is  LIKELY SAFE  in food amounts and  POSSIBLY SAFE  for most people when taken by  mouth  as a medicine.
vietnamese-coriander,It isn't known if Vietnamese coriander is safe or what the possible side effects might be.
vinpocetine,Vinpocetine appears to be  POSSIBLY SAFE  for most people when taken by mouth appropriately.
vitamin-a,"Vitamin A is  LIKELY SAFE  for most people when taken by mouth or given as a shot into the muscle in amounts less than 10,000 IU daily."
vitamin-b12,"Vitamin B12 is  LIKELY SAFE  for most people when taken by mouth, applied to the skin, taken through the nose, administered as a shot, or injected into the vein (by IV)."
vitamin-c-ascorbic-acid,"Vitamin C is  LIKELY SAFE  for most people when taken by mouth in recommended doses, when applied to the skin, when injected into the muscle, and when injected intravenously (by IV) and appropriately."
vitamin-d,Vitamin D is  LIKELY SAFE  when taken by mouth or given as a shot into the muscle in recommended amounts.
vitamin-e,Vitamin E is  LIKELY SAFE  for most healthy people when taken by mouth or applied to the skin.
vitamin-k,The two forms of vitamin K (vitamin K1 and vitamin K2) are  LIKELY SAFE  for most people when taken by mouth or injected into the vein appropriately.
vitamin-o,It is not known if vitamin O is safe or what the potential side effects might be.
vitex-agnus-castus,Vitex agnus-castus fruit extract is  LIKELY SAFE  for most people when taken by mouth appropriately.
wafer-ash,It is not known if wafer ash is safe to take by  mouth.
wahoo,Wahoo is  UNSAFE.
wallflower,Wallflower seems to be  UNSAFE.
wasabi,There isn't enough reliable information available about wasabi to know if it is safe or what the possible side effects might be.
water-avens,It is not known if water avens is safe or what the potential side effects might be.
water-dock,It is not known if water dock is safe or what the possible side effects might be.
water-dropwort,There isn't enough information available to know if water dropwort is safe or what the possible side effects might be.
water-fennel,It isn’t known if water fennel is safe or what the possible side effects might be.
water-germander,It is not known if water germander is safe or what the possible side effects might be.
water-hemlock,Water hemlock is  UNSAFE  for anyone to take by  mouth  or apply to the skin.
watercress,Watercress seems safe for most people in food amounts and in medicinal amounts when used short-term.
wheat-bran,"Taking wheat bran by mouth is  LIKELY SAFE  for most people, including children."
wheatgrass,Wheatgrass is  LIKELY SAFE  when taken in food amounts.
whey-protein,Whey protein is  LIKELY SAFE  for most children and adults when taken by mouth appropriately.
white-cohosh,White cohosh is  UNSAFE.
white-dead-nettle-flower,White dead nettle flower seems safe for most people when taken by  mouth.
white-hellebore,White hellebore is  UNSAFE  to take by  mouth  or apply to the skin.
white-horehound,White horehound is  LIKELY SAFE  for most people when taken by mouth in food amounts.
white-lily,There isn't enough information available to know if white lily is safe.
white-mulberry,White mulberry is  POSSIBLY SAFE  for most people when the powdered leaf is taken by mouth for up to 5 weeks.
white-mustard,White mustard is safe when consumed as food.
white-oak,White oak bark is  POSSIBLY SAFE  for most people when taken by mouth for 3-4 days.
white-pepper,White pepper is  LIKELY SAFE  when taken by mouth in amounts commonly found in foods.
white-sandalwood,White sandalwood is  LIKELY SAFE  when taken by mouth in food amounts.
white-soapwort,White soapwort seems safe for most adults when taken by  mouth  appropriately.
wild-carrot,Wild carrot seed oil seems to be safe when taken by mouth for most adults in the amounts used in medicines.
wild-cherry,Wild cherry is  LIKELY SAFE  when consumed in amounts normally found in food.
wild-daisy,There isn't enough information to know whether wild daisy is safe.
wild-indigo,"Wild indigo is  UNSAFE when taken by mouth or applied to the skin, long-term or in large doses."
wild-lettuce,Wild lettuce seems safe for most people in small amounts.
wild-mint,There isn’t enough information to know if wild mint is safe.
wild-radish,There isn't enough information available to know if wild radish is safe.
wild-thyme,Wild thyme is safe in the amounts used in foods and seems safe for most adults when used as medicine.
wild-yam,Wild yam is  POSSIBLY SAFE  when taken by mouth or applied to the skin.
willard-water,There isn't enough information available to know if Willard water is safe or what the possible side effects might be.
willow-bark,Willow bark is  POSSIBLY SAFE  for most people when taken by mouth for a short time (up to 12 weeks).
wine,Wine is  LIKELY SAFE  for most adults when no more than 2 five-ounce glasses are drunk per day.
winter-cherry,There isn’t enough information available to know if winter cherry is safe or what the possible side effects might be.
winter-savory,"Winter savory is  LIKELY SAFE  in the amounts used in foods, but there isn't enough information to know if it is safe for use in the larger amounts typically used as a medicine."
wintergreen,"Wintergreen is safe in the amounts found in foods, and seems safe for most adults when used as a medicine."
winters-bark,There isn't enough information available to know if winter's bark is safe or what the possible side effects might be.
witch-hazel,Witch hazel is  LIKELY SAFE  for most adults when applied directly to the skin.
wood-anemone,Fresh wood anemone is  UNSAFE  to take by  mouth  or apply to the  skin.
wood-sage,There isn't enough information to know if wood sage is safe or what the possible side effects might be.
wood-sorrel,"Wood sorrel is  UNSAFE , especially when used when used in higher doses."
woodbine,Woodbine is  UNSAFE  when taken by  mouth  or when put on the skin.
wormseed,Wormseed is  UNSAFE  when taken by  mouth.
wormwood,"Wormwood is  LIKELY SAFE  when taken by mouth in the amounts commonly found in food and beverages, including bitters and vermouth, as long as these products are thujone-free."
xanthan-gum,Xanthan gum is safe when up to 15 grams per day are taken.
xanthoparmelia,Xanthoparmelia might be  UNSAFE.
xylitol,Xylitol is safe in the amounts found in foods.
yarrow,Yarrow is  LIKELY SAFE   for most people when taken by mouth in amounts commonly found in food.
yellow-dock,Yellow dock is  POSSIBLY SAFE  for most adults when consumed in amounts found in food.
yellow-lupin,Yellow lupin seems to be  UNSAFE  when taken by  mouth.
yellow-toadflax,There isn't enough information to know whether yellow toadflax is safe or what the potential side effects might be.
yerba-mansa,There isn't enough information to know if yerba mansa is safe or what the possible side effects might be.
yerba-mate,"Yerba mate is  POSSIBLY SAFE  for most people, when taken by mouth for short periods of time."
yerba-santa,Yerba santa is  LIKELY SAFE  when eaten in amounts commonly found in food or when taken by  mouth  for medicinal reasons.
yew,Yew is  LIKELY UNSAFE  for people.
yin-chen,Yin chen seems safe for most adults when taken by mouth.
ylang-ylang-oil,Ylang ylang oil seems safe for children and adults in the amounts found in foods.
yogurt,Yogurt is  LIKELY SAFE  for most adults when taken by mouth.
yohimbe,"Yohimbe, taken by mouth, is  POSSIBLY UNSAFE."
yucca,Yucca is  LIKELY SAFE  when consumed in the amounts normally found in foods.
zedoary,There isn’t enough information to known whether zedoary is safe.
zinc,"Zinc is  LIKELY SAFE  for most adults when applied to the skin, or when taken by mouth in amounts not larger than 40 mg daily."
zizyphus,There is not enough information available to know if zizyphus is safe to take for medical conditions.
19-nor-dhea,There isn't enough reliable information available to know if 19-nor-DHEA is safe or what the side effects might be.
1-androsterone,1-androsterone is  POSSIBLY UNSAFE  when taken by mouth.
5-htp,5-HTP is  POSSIBLY SAFE  when taking by mouth appropriately.
7-alpha-hydroxy-dhea,There isn't enough information available to know if 7-alpha-hydroxy-DHEA is safe or what the possible side effects might be.
7-keto-dhea,There isn't enough information available to know if 7-keto-DHEA is safe for use.
7-methoxyflavone,There isn't enough reliable information to know if 7-methoxyflavone is safe of what the side effects might be.
