ingredient,side_effects
phaseolus-vulgaris,"There is some evidence that Phaseolus vulgaris bean extracts are  POSSIBLY SAFE  for most adults when taken by mouth, short-term. Most research has evaluated a specific extract from the Phaseolus vulgaris variety known as white kidney bean (Phase 2, Pharmachem Labs). This product appears to be safe in doses of up to 3 grams daily for 2-3 months. Other white kidney bean extracts also seem to be safe when used for up to 3 months. Eating large amounts of fresh Phaseolus vulgaris bean husks is  POSSIBLY UNSAFE . Raw husks contain chemicals called lectins. These chemicals can cause stomach upset, nausea, vomiting, and diarrhea. Cooking destroys these chemicals.   
 "
pheasants-eye,"Pheasant's eye is  UNSAFE , unless a commercially prepared extract is used under direct medical supervision. No one should self-medicate with pheasant’s eye. It is highly poisonous. It can cause side effects such as  nausea ,  vomiting , and irregular heart rhythm.  "
phellodendron,"Phellodendron is  POSSIBLY SAFE  in adults when used short-term. The safety of phellodendron use for more than 8 weeks is unknown. In one study, one person experienced heartburn, shaking hands, sexual dysfunction, and thyroid dysfunction after taking a combination product containing phellodendron and magnolia. Another person experienced fatigue and headache. But it is not known if these side effects were caused by phellodendron, magnolia, or some other factor.

 "
phenethylamine,"Phenethylamine is  POSSIBLY UNSAFE  for most people when taken by  mouth  appropriately. Phenethylamine works similar to the drug  amphetamine , and may cause similar side effects. Also, it might cause rapid  heart rate ,  anxiety , or agitation.  "
phenibut,"Phenibut is  POSSIBLY UNSAFE  for most people when taken by mouth. Phenibut can cause many side effects, including a hangover effect, dizziness, nausea, poor balance, fatigue, and feelings of electric shocks in the arms and legs. Phenibut in large doses can cause trouble breathing and unconsciousness.   

Phenibut can cause dependence when taken regularly. People who use phenibut regularly and then stop taking it may experience withdrawal symptoms. These symptoms can include decreased appetite, nausea, muscle aches, anxiety, agitation, trouble sleeping, and seizures.

 "
phenylalanine,"L-phenylalanine is  LIKELY SAFE  for most people when taken by mouth in amounts commonly found in foods.   

L-Phenylalanine is  POSSIBLY SAFE  when taken by mouth as medicine or when applied as a cream, short-term.   

There is not enough reliable information available about the safety of D-phenylalanine.    
 "
phleum-pratense,"Phleum pratense seems safe for most adults and children aged 3-16 years. When used under the tongue, Phleum pratense can cause  itching  and irritation of the  mouth  and nose,  blisters  in the  mouth , and  runny nose . When given by injection, it can cause irritation where the needle entered the skin.  "
phlorizin,It isn’t known if phlorizin is safe. It might cause  blood sugar levels  to drop too low. It might also cause people to feel very  hungry .  
phosphate-salts,"Phosphate salts containing sodium, potassium, aluminum, or calcium are  LIKELY SAFE  for most people when taken by mouth, inserted into the rectum, or given intravenously (by IV) appropriately and short-term. Phosphate salts should only be used intravenously (by IV) under the supervision of a physician.   

Phosphate salts (expressed as phosphorous) are  POSSIBLY UNSAFE  when taken in doses higher than 4 grams per day for adults younger than 70 years of age and 3 grams per day for people who are older.   

Regular long-term use can upset the balance of phosphates and other chemicals in the body and should be monitored by a healthcare professional to avoid serious side effects. Phosphate salts can irritate the digestive tract and cause stomach upset, diarrhea, constipation, headache, tiredness, and other problems.   

Do not confuse phosphate salts with substances such as organophosphates, or with tribasic sodium phosphates and tribasic potassium phosphates, which are very poisonous.

 "
phosphatidylcholine,"Phosphatidylcholine is  POSSIBLY SAFE  when taken by mouth, when injected just beneath the skin, or when applied on the skin short-term. The safety of long-term use is not known.   

When phosphatidylcholine is taken by mouth, it can sometimes cause excessive sweating, stomach upset, and diarrhea.   

Phosphatidylcholine injections can cause irritation, swelling, redness, itching, burning, bruising, and pain at the injection site. These side effects usually go away over a period of several days. Sometimes, phosphatidylcholine might cause gastrointestinal upset, like bloating, diarrhea, and nausea.    

If phosphatidylcholine is injected directly into a fatty growth (lipoma), it might cause an inflammatory reaction that could make the tumor more fibrous. In one reported case, the patient who had this done had to have the lipoma removed by surgery.   
 "
phosphatidylserine,"Phosphatidylserine is  POSSIBLY SAFE  most adults and children when taken by mouth appropriately. It has been used in safely in clinical research for up to 6 months in adults and up to 4 months in children.   

 
Phosphatidylserine can cause side effects including insomnia and stomach upset, particularly at doses over 300 mg.   

There is some concern that products made from animal sources could transmit diseases, such as mad cow disease. To date, there are not any known cases of humans getting animal diseases from phosphatidylserine supplements. But look for supplements made from plants to be on the safe side.   
 "
picrorhiza,"Picrorhiza is  POSSIBLY SAFE  for most people, when taken by mouth for up to one year. It can cause vomiting, rash, anorexia, diarrhea, and itching.     "
pilates,"
"
pimpinella,There isn't enough information available to know if pimpinella is safe or what the possible side effects might be.  
pine,Pine is  POSSIBLY SAFE  when used appropriately by  mouth  for short periods of time.      
pinellia-ternata,"Pinellia ternata might not be safe. It contains a stimulant called  ephedrine  and might cause serious side effects such as  heart  attack,  stroke , or seizures. Because of these safety concerns, this product is banned in the US.  "
pink-root,"The FRESH root of pink root is  UNSAFE  for use. It contains poisonous chemicals.    The DRIED root of pink root seems safe for most people when used short-term along with a strong laxative. The dried root can be unsafe, however, if it is not taken with a strong laxative. It’s important to get pink root out of the body quickly because it might still contain some poisonous chemicals, even though it is dried.   "
pipsissewa,"Pipsissewa seems safe for most people when used in food amounts. Long-term use can cause side effects such as  ringing in the ears ,  vomiting , confusion, and seizures.    There isn’t enough information to know whether it is safe to apply pipsissewa directly to the skin.  "
pitcher-plant,A certain pitcher plant extract called Sarapin seems to be safe when injected by a qualified health professional. It is  UNSAFE  when injected in areas of pain and swelling ( inflammation ) or when injected by an unqualified person. Pitcher plant injections can cause some side effects including feelings of heat or heaviness. Injections might also worsen symptoms.    There isn't enough information to know if pitcher plant is safe when taken by  mouth  or what the possible side effects might be.  
plant-sterols,"Plant sterols are  LIKELY SAFE  for most people when taken by mouth. They can cause some side effects, such as diarrhea or fat in the stool.   
 "
pleurisy-root,"Pleurisy root is  POSSIBLY UNSAFE  because it contains a powerful chemical that is similar to the prescription drug  digoxin  (Lanoxin). It might cause serious  heart  problems. Pleurisy root also can cause side effects such as  nausea and vomiting , and  skin rash .      "
podophyllum,"When applied by medical professionals in low concentration to unbroken skin, podophyllum is  POSSIBLY SAFE  for most people. It should be washed off within 4 to 6 hours. Podophyllum should not be used in higher concentrations or over large areas of the body. It is absorbed through the skin and can cause the same serious harmful effects as taking podophyllum by mouth. Podophyllotoxin, a chemical found in podophyllum, is safer and has largely replaced podophyllum as a treatment.    Podophyllum is  LIKELY UNSAFE  when taken by mouth or applied to the skin in higher concentrations over large areas of the body. It is poisonous. It may cause  nausea ,  vomiting ,  dizziness ,  headache , spasms, fever, visual changes and hallucinations,  low blood pressure , bone marrow problems, paralysis, coma, liver problems, and kidney problems. It can take up to 13 hours for symptoms of poisoning to appear. Some deaths after taking podophyllum by mouth or applying it to the skin in large amounts have been reported. Podophyllum poisoning has been successfully treated in some cases by using activated charcoal.     "
poinsettia,"Poinsettia might be  UNSAFE . It can cause  skin rash ; severe  eye  irritation; and irritation or burns to the  mouth , throat,  stomach , and intestinal linings.    Recent studies indicate that the plant is less toxic than once believed. The American Association of Poison Control Centers reported 22,793 cases of potential poisoning with no fatalities and 92.4% with no toxicity.  "
poison-ivy,"Poison ivy is  LIKELY UNSAFE  when taken by mouth or touched. Chemicals in poison ivy can cause an allergic reaction with widespread symptoms. When taken by mouth, poison ivy can cause severe irritation of the mouth, throat, and lining of the stomach and intestines; nausea; vomiting; colic; diarrhea; dizziness; blood in the urine; fever; and coma.   

Skin contact can cause redness, swelling, blisters, severe skin destruction, swelling of the eye (cornea), or loss of sight. To prevent poison ivy from causing skin irritation, wash exposed areas with soap and water within 5 to 10 minutes of contact. Alcohol can also be used.   

Inhaling smoke from the burning plant can result in fever, lung infection, and death due to swelling of the throat.   
 "
poisonous-buttercup,Poisonous buttercup is  UNSAFE  for use when applied to skin. Skin contact with fresh or bruised plants can lead to  blisters  and burns that are difficult to heal. Touching poisonous buttercup might also increase the risk of  sunburn .    There isn't enough information to know if poisonous buttercup is safe when taken by  mouth .  
pokeweed,"Pokeweed is  UNSAFE  to use. All parts of the pokeweed plant, especially the root, are poisonous. Severe poisoning has been reported from drinking tea brewed from pokeweed root and pokeweed leaves. Poisoning also has resulted from drinking pokeberry wine and eating pokeberry pancakes. Eating just 10 berries can be toxic to an adult. Green berries seem to be more poisonous than mature, red berries.    Pokeweed can cause  nausea ,  vomiting , cramping,  stomach pain ,  diarrhea ,  low blood pressure , difficulty controlling urination ( incontinence ), thirst, and other serious side effects.    Don’t touch pokeweed with your bare hands. Chemicals in the plant can pass though the skin and affect the  blood . If you must handle pokeweed, use protective gloves.  "
policosanol,"Policosanol is  LIKELY SAFE  for most people when taken by mouth in doses of 5-80 mg daily for up to 3 years. Side effects of policosanol are generally mild and can include headaches, difficulty sleeping, dizziness, upset stomach, skin redness, or weight loss. But these side effects are relatively uncommon.   
 "
polydextrose,"Polydextrose is  LIKELY SAFE  when used as a  food additive , provided a serving contains less than 15 grams of polydextrose.    Polydextrose is  POSSIBLY SAFE  when taken by  mouth  in doses of less than 50 grams per day. Polydextrose can cause intestinal gas ( flatulence ),  bloating ,  stomach cramps , and  diarrhea .     Polydextrose is  POSSIBLY UNSAFE  when taken by  mouth  in single doses of more than 50 grams or in daily doses of more than 90 grams. High doses of polydextrose might cause severe diarrhea.  "
polypodium-leucotomos,"Polypodium leucotomos is  POSSIBLY SAFE  when taken by  mouth  or applied to the skin, short-term. One polypodium leucotomos extract (Fernblock, Cantabria Farmaceutica) has been used safely for up to 2 days. Another extract (Anapsos, ASAC Pharma) has been used safely for up to 5 months. The safety of long-term use is not known. There is very little information available about possible side effects of Polypodium leucotomos. It may cause  upset stomach  in some people.     "
pomegranate,"Pomegranate juice is  LIKELY SAFE  for most people when taken by mouth. Most people do not experience side effects. Some people can have allergic reactions to pomegranate fruit.   


Pomegranate extract is  POSSIBLY SAFE  when taken by mouth or applied to the skin. Some people have experienced sensitivity to pomegranate extract. Symptoms of sensitivity include itching, swelling, runny nose, and difficulty breathing.   

Pomegranate is  POSSIBLY UNSAFE  when the root, stem, or peel are taken by mouth in large amounts. The root, stem, and peel contain poisons.    
 "
poplar,"Poplar is  LIKELY SAFE  when applied to the skin. However, it can cause allergic skin reactions in some people.    The safety of taking poplar by  mouth  is unknown.      "
poppy-seed,"Poppy seed is  LIKELY SAFE  for most adults when taken by mouth in amounts commonly found in food. In some people, eating poppy seed can cause allergies, but this is uncommon.   

Poppy seed is  POSSIBLY SAFE  when taken by mouth in amounts used for medical purposes. A single beverage or yogurt containing 35-250 grams of poppy seed has been used safely.    

Drinking poppy seed tea is  POSSIBLY UNSAFE . Poppy seed tea is made my soaking poppy seeds in water. The outer surface of poppy seed can contain morphine. When poppy seed is soaked in water to make the tea, the morphine can seep into the water. Drinking this water can cause side effects or death due to the morphine content.   

Eating very large amounts of poppy seeds is also  POSSIBLY UNSAFE . Eating very large amounts of poppy seed can block the bowels. But this is very uncommon.

 "
poria-mushroom,"Poria mushroom is  POSSIBLY SAFE  for most people when taken by mouth or applied to the skin. There aren't any known harmful effects of poria mushroom. But it hasn't been well researched by scientists.    
 "
potassium,"Potassium is  LIKELY SAFE  for most people when taken by mouth in amounts of up to 100 mEq of total potassium, or when given intravenously (by IV) by medical professionals. In some people, potassium can cause stomach upset, nausea, diarrhea, vomiting, or intestinal gas.   

Too much potassium is  UNSAFE  and can cause feelings of burning or tingling, generalized weakness, paralysis, mental confusion, low blood pressure, irregular heart rhythm, or death.   
 "
potato,"Unblemished, ripe potatoes eaten as food or taken as medicine seem safe for most people. Damaged potatoes, green potatoes, and sprouts contain poisonous chemicals that cannot be destroyed by cooking. These poisonous chemicals can cause  headache , flushing,  nausea ,  vomiting ,  diarrhea ,  stomach pain , thirst, restlessness, and even death.    There isn’t enough information to know whether it’s safe to put raw potato on the skin as a treatment.  "
potentilla,Potentilla seems safe for most people. It can cause  stomach  irritation.  
pregnenolone,"Pregnenolone is  POSSIBLY SAFE  for most people when taken by mouth for up to 12 weeks.   
  
In some people, pregnenolone can cause skin rashes, acne, hair loss, diarrhea or constipation, problems sleeping, restlessness, agitation, sweating, or tremor.  It may also cause palpitations (irregular heart beat), depressed mood, both increased or decreased appetite, or muscle pain.   

Not enough is known about the safety of long-term use of pregnenolone. Stick with short-term use. 


 "
premorse,There isn't enough information to know if premorse is safe or what possible the side effects might be.  
prickly-pear-cactus,"Prickly pear cactus is  LIKELY SAFE  when eaten as food. The leaves, stems, flowers, fruit and standardized extracts of the prickly pear cactus are  POSSIBLY SAFE  when taken by mouth as medicine in appropriate amounts for a short period of time. In some people, prickly pear cactus can cause some minor side effects including diarrhea, nausea, increased amount and frequency of stool, bloating, and headache. In rare cases, eating large amounts of prickly pear cactus fruits can cause a blockage in the lower intestines.   
 "
procaine,"It is not known whether procaine is safe when taken by mouth. It can cause some side effects including  heartburn ,  migraines , and a serious condition called systemic  lupus  erythematosus (SLE). SLE causes a variety of symptoms including  joint pain ,  rashes ,  lung  problems, and many other symptoms.    Procaine is safe when the prescription-only product is given as a shot by a  healthcare  professional as a local anesthetic.  "
progesterone,"The progesterone prescription products that have been approved by the Food and Drug Administration (FDA) are  LIKELY SAFE  for most people when used by mouth, applied to the skin, applied into vagina, or injected into the muscle with the advice and care of a healthcare professional. However, progesterone can cause many side effects including stomach upset, changes in appetite, weight gain, fluid retention and swelling (edema), fatigue, acne, drowsiness or insomnia, allergic skin rashes, hives, fever, headache, depression, breast discomfort or enlargement, premenstrual syndrome (PMS)-like symptoms, altered menstrual cycles, irregular bleeding, and other side effects.   
 "
propionyl-l-carnitine,"Propionyl-L-carnitine is  LIKELY SAFE  for most people when taken by mouth or given with a needle in the vein by a healthcare professional. It can cause stomach upset, vomiting, stomach pain, diarrhea, weakness, back pain, chest infections, and chest pain (angina). It can also cause a ""fishy"" smell of the urine, breath, and sweat. 

 "
propolis,"Propolis is  POSSIBLY SAFE  when taken by mouth or applied to the skin appropriately. It can cause allergic reactions, particularly in people who are allergic to bees or bee products. Lozenges containing propolis can cause irritation and mouth ulcers.     "
pu-erh-tea,"Taking pu-erh tea in moderate amounts might be safe. However, too much pu-erh tea, more than five cups per day, can cause side effects because of the caffeine. These side effects can range from mild to serious and include headache, nervousness, sleep problems, vomiting, diarrhea, irritability, irregular heartbeat, tremor, heartburn, dizziness, ringing in the ears, convulsions, and confusion.

 "
puff-ball,"Puff ball mushrooms seem to be safe when eaten in food amounts. There isn't enough information to know if puff ball is safe to take by  mouth  in the larger amounts typically used as medicine. Inhaling puff ball spores can cause side effects including  breathing problems ,  pneumonia -like symptoms, and chest X-ray changes.   "
pulsatilla,"Fresh pulsatilla plant is  UNSAFE  when taken by mouth or applied to the skin. It is a severe irritant anywhere it comes in contact with the body, such as the mouth, throat, digestive tract, urinary tract, and skin. It can also cause allergic reactions. Contact with the skin can cause  rash , inflammation, and  itching . Inhaling the volatile oil can irritate the nose and  eyes .    There isn't enough information about the dried plant to know if it is safe or what the side effects might be.  "
pumpkin,"Pumpkin is  LIKELY SAFE  in food amounts and  POSSIBLY SAFE  in medicinal amounts for most people. Side effects from pumpkin products are rare. 

 "
purple-loosestrife,It is not known if purple loosestrife is safe or what the side effects might be.  
purple-nut-sedge,It isn’t known if purple nut sedge is safe or what the possible side effects might be.  
pygeum,Pygeum is  LIKELY SAFE  for most people when taken by  mouth  appropriately. It can cause  nausea  and  abdominal pain .     
pyrethrum,"The commercially available combination of pyrethrins (0.17-0.33%) and piperonyl butoxide (2-4%) seems to be safe when applied to the skin in a nonaerosol product.    Pyrethrum is  POSSIBLY SAFE  when used on the skin in amounts less than 2 grams. While pyrethrum has limited toxicity at low doses, it can cause some side effects such as  headache , ringing of the ears,  nausea , tingling of fingers and toes,  breathing problems , and other  nervous system  problems.  "
pyridoxine-vitamin-b6,"Vitamin B6 is  LIKELY SAFE  for most people when used appropriately.    

Vitamin B6 is  POSSIBLY SAFE  when taken by mouth in amounts greater than the recommended dietary allowance. In some people, vitamin B6 might cause nausea, vomiting, diarrhea, stomach pain, loss of appetite, headache, tingling, sleepiness, and other side effects.   

Long-term use of high doses of vitamin B6 and when vitamin B6 is given as a shot into the muscle is  POSSIBLY UNSAFE . When used orally in high doses it might cause certain brain and nerve problems. When given as a shot into the muscle it might cause muscle problems.    
 "
pyruvate,"Pyruvate is  POSSIBLY SAFE  when taken by mouth or inhaled using a nebulizer for up to six weeks. Side effects such as stomach upset, gas, bloating, and diarrhea can occur when large amounts are taken.    Pyruvic acid facial peels are  POSSIBLY SAFE  when applied by a healthcare professional. It can cause severe skin burning and should be applied only to small patches of skin at a time.     "
quassia,"Quassia is  LIKELY SAFE  when taken by  mouth  in food amounts. But quassia is  POSSIBLY UNSAFE  when taken by  mouth  in medicinal amounts. It can cause side effects such as irritation of the  mouth , throat, and digestive tract along with  nausea and vomiting . In very large doses, it could cause abnormal  heart  function; however, most people throw up before they get a high enough dose to cause  heart  problems. Long-term use can cause  vision  changes and blindness.    Quassia is  POSSIBLY SAFE  when used on the  skin .     "
quebracho,"Quebracho is safe in food amounts. But there isn’t enough information to know if quebracho is safe in medicinal amounts. It can cause some side effects including drooling,  headache ,  sweating ,  dizziness , stupor, and sleepiness. In large doses, it can cause  nausea  and  vomiting .  "
queens-delight,"Queen’s delight might be  UNSAFE  when used by  mouth  or applied to the skin. It contains chemicals that might cause  cancer . It might also activate viruses harbored in the body.    Queen’s delight is very irritating and can cause swelling wherever it comes in contact with the body such as the skin, mouth, throat, and digestive tract. It can also cause vomiting,  diarrhea , and nausea. In large amounts, queen’s delight may cause a burning sensation of the mouth and throat,  painful urination , aches and pains,  itching ,  rash ,  cough ,  depression ,  fatigue , and  sweating .  "
quercetin,"Quercetin is  POSSIBLY SAFE  for most people when taken by mouth short-term. Quercetin has been safely used in amounts up to 500 mg twice daily for 12 weeks. It is not known if long-term use or higher doses are safe.   

When taken by mouth, quercetin can cause headache and tingling of the arms and legs. Very high doses might cause kidney damage.   

When given intravenously (by IV) in appropriate amounts (less than 722 mg), quercetin is  POSSIBLY SAFE . Side effects may include flushing, sweating, nausea, vomiting, difficulty breathing, or pain at the injection site. But larger amounts given by IV are  POSSIBLY UNSAFE  . There have been reports of kidney damage at higher doses.

 "
quillaia,"Quillaia seems to be safe when taken in food amounts. But it might be  UNSAFE  when taken by mouth in medicinal doses. Plants such as quillaia that contain high amounts of tannins can cause  stomach  and intestinal disturbances, and  kidney  and  liver  damage. Quillaia also contains chemicals called oxalates that can lower  blood calcium  levels and cause  kidney stones . Quillaia use can also cause  diarrhea ,  stomach pain , serious breathing problems, convulsions,  coma , red blood cell destruction, and  kidney failure . Quillaia can also irritate and damage the lining of the mouth, throat, and digestive tract.    It is not known if quillaia is safe when put on the skin or in the  vagina . If inhaled, the powder can cause sneezing.  "
quince,"There isn’t enough information to know if quince is safe for medicinal use. The seeds contain cyanide, which suggests that quince seeds might not be safe.  "
quinoa,It isn’t known if quinoa is safe or what the possible side effects might be.  
rabdosia-rubescens,There isn't enough information to know if Rabdosia rubescens is safe or what side effects may occur.  
radish,"Radish is  SAFE  for most people in moderate amounts. Some people might be allergic to radish, but this is rare. Large amounts of radish can irritate the digestive tract.

 "
raspberry-ketone,"Raspberry ketone is  POSSIBLY SAFE  when taken by  mouth  appropriately as part of a product containing other ingredients in the short-term. Doses of 1000 mg of a specific formulation (Prograde  Metabolism ), which contains raspberry ketone (Razberi K, Integrity Nutraceuticals) and other ingredients, including  caffeine , has been used safely twice daily for 8 weeks.     There isn't enough reliable information available to know if taking raspberry ketone alone is safe. There are some concerns about the safety of raspberry ketone because it is chemically related to a stimulant called synephrine. Therefore, it is possible that raspberry ketone might cause feelings of jitteriness, increase  blood pressure , or rapid heartbeat. In one report, someone who took raspberry ketone described feelings of being shaky and a pounding  heart  beat (palpitations).  "
rauvolfia-vomitoria,"Rauvolfia vomitoria is  POSSIBLY UNSAFE  when taken by mouth. Taking Rauvolfia vomitoria dried root powder can cause shakiness, jerky movements, or slower movements in some people. These effects are similar to side effects of medications for mental conditions (antipsychotic drugs). Rauvolfia vomitoria also contains chemicals that have been shown to affect the heart and blood vessels, causing low blood pressure and slow heart rate. Other possible side effects of these chemicals include stomach problems, drowsiness, dizziness, and other problems with the brain and nervous system.   
 "
red-bush-tea,Red bush tea seems safe for most people when used as a beverage. There isn't enough information available to know if red bush tea is safe for use as a medicine.  
red-clover,"Red clover is  LIKELY SAFE  for most people when used in the amounts found in food. It is  POSSIBLY SAFE  when used in medicinal amounts by mouth or applied to the skin.    Red clover can cause rash-like reactions, muscle ache, headache, nausea, and vaginal bleeding (spotting) in some women.     "
red-maple,It is not known if red maple is safe or what the potential side effects might be.  
red-raspberry,"Red raspberry is  LIKELY SAFE  for most people when eaten in food amounts and  POSSIBLY SAFE  when taken in larger amounts as medicine.   

No side effects from taking red raspberry have been reported. But a full evaluation of the safety of red raspberry has not been conducted. 
 "
red-sandalwood,Red sandalwood might be safe for most people. The possible side effects aren't known.   
red-soapwort,"Red soapwort seems safe for most people when used on the skin. There are no reported side effects when red soapwort is used in soaps and shampoos.    Red soapwort might be safe when taken by  mouth . However, it can cause some side effects including  stomach  irritation,  nausea , and  vomiting .  "
red-yeast,"Red yeast is  POSSIBLY SAFE  for most people when taken by mouth for up to 4.5 years.   

Red yeast contains chemicals similar to the prescription drugs called ""statins."" Therefore, red yeast might also cause side effects similar to statin drugs, such as liver damage and severe muscle pain and muscle damage.   

There is also concern about product quality. Many red yeast products have been found to have different amounts of the statin-like chemicals. Some products may contain none and others may contain high amounts, which are more likely to cause serious side effects.   

Serious allergic reactions can occur after breathing in red yeast.   

Red yeast that is not fermented correctly may contain citrinin. Citrinin is a poison that may cause kidney damage.   
 
"
red-spur-valerian,There isn't enough information to know if red-spur valerian is safe or what the possible side effects might be.  
reed-herb,It is not known if reed herb is safe or what the possible side effects might be.  
rehmannia,There is not enough information available to know if rehmannia is safe to take for medical conditions.     
reishi-mushroom,"Reishi mushroom extract is  POSSIBLY SAFE  when taken by mouth appropriately for up to one year.    Reishi mushroom is  POSSIBLY UNSAFE  when taken by mouth in a powdered form for more than one month. Use of powdered reishi mushroom has been associated with toxic effects on the liver.     Reishi mushroom can also cause other side effects including dryness of the mouth, throat, and nasal area along with itchiness, stomach upset, nosebleed, and bloody stools. Drinking reishi wine can cause a rash. Breathing in reishi spores can trigger allergies.     "
resveratrol,"Resveratrol is  LIKELY SAFE  when used in the amounts found in foods, and when taken by mouth in doses up to 250 mg daily for up to 3 months. Higher doses of up to 900 mg have been taken for up to 2 days. Resveratrol has also been applied to the skin safely for up to 30 days.      "
rhatany,"Rhatany is  POSSIBLY SAFE  for most people when taken by  mouth  for less than two weeks. There isn't enough information to know if it is safe to take long-term or use on the skin. Rhatany can cause some side effects such as digestive complaints. Rarely, rhatany has caused allergic reactions in the linings of the mouth and throat.   "
rhodiola,"Rhodiola is  POSSIBLY SAFE  when taken by mouth, short-term. Twice daily doses of rhodiola extract have been used safely for 6-10 weeks. The safety of long-term use is not known. Rhodiola might cause dizziness, dry mouth, or excessive saliva production.

 "
rhubarb,"Rhubarb stem is  LIKELY SAFE  when it is consumed as food. Rhubarb root and rhizome are  POSSIBLY SAFE  for most adults when taken by mouth in medicinal amounts for up to 2 years. Rhubarb stem is  POSSIBLY SAFE  when taken by mouth in medicinal amounts for up to 4 weeks.   

Rhubarb leaves are  POSSIBLY UNSAFE  when taken by mouth. Rhubarb leaves contain oxalic acid, which can cause abdominal pain, burning of the mouth and throat, diarrhea, nausea, vomiting, seizures, and death.   

Rhubarb can cause some side effects such as stomach and intestinal pain, watery diarrhea, nausea, vomiting, rash, and uterine contractions. Long-term use can result in muscular weakness, bone loss, potassium loss, and irregular heart rhythm.   

There is a report of kidney failure in someone who took a product containing rhubarb. But it's not known for sure if rhubarb was the actual cause of kidney failure.





 "
riboflavin,"Riboflavin is  LIKELY SAFE  for most people when taken by mouth. In some people, riboflavin can cause the urine to turn a yellow-orange color. It may also cause diarrhea.   
 "
ribose,"Ribose seems to be  LIKELY SAFE  for most people when taken by mouth for short-term use or when given intravenously (by IV) by a healthcare provider. It can cause some side effects including diarrhea, stomach discomfort, nausea, headache, and low blood sugar.    There isn’t enough information about the safety of long-term use.     "
rice-bran,"Rice bran is safe for most people when taken by mouth. Increasing the amount of bran in the diet can cause unpredictable bowel movements, intestinal gas, and stomach discomfort during the first few weeks.    Rice bran is  POSSIBLY SAFE  for most people when added to baths, but it can cause  itching  and skin redness. People have experienced rash and itching from rice bran infested with a pest called the straw itch mite, but this is rare.  "
rna-and-dna,"RNA appears to be safe for most people when taken along with omega-3 fatty acids and L-arginine or injected under the skin. Injections can cause  itching , redness, and swelling at the injection site.     Infant  formulas that contain RNA or DNA also seem to be safe for children.    There isn’t enough information to know whether RNA/DNA combinations are safe to take by  mouth .  "
rock-rose,There isn’t enough information to know if rock rose is safe or what the possible side effects might be.  
roman-chamomile,"Roman chamomile is  LIKELY SAFE  for most people when used in amounts normally found in foods. It is  POSSIBLY SAFE  when used in large amounts and, in some people, may cause vomiting.    

The essential oil of Roman chamomile is  POSSIBLY SAFE  when inhaled or applied to the skin. In some people, when it is applied directly to the skin, it can make the skin red and itchy. 

 "
rose-geranium-oil,"Rose geranium oil is  LIKELY SAFE  when taken by mouth in food amounts. The safety of rose geranium oil when taken by mouth in larger amounts is not known. Rose geranium oil is  POSSIBLY SAFE  when applied to the skin or inside the nose. Some people can develop a rash or burning sensation when it is applied to the skin. Rose geranium oil can also cause eye irritation if applied to the face. When applied inside the nose, rose geranium oil can cause bad taste.
   
 "
rose-hip,"Rose hip is  LIKELY SAFE  for adults when taken by mouth appropriately. Rose hip can cause some side effects such as nausea, vomiting, diarrhea, constipation, heartburn, stomach cramps, fatigue, headache, inability to sleep, and others.   

There is not enough reliable information about the safety of applying rose hip to the skin.

 "
rosemary,"Rosemary is  LIKELY SAFE  when consumed in amounts found in foods. Rosemary is  POSSIBLY SAFE  for most people when used as a medicine when taken by mouth, applied to the skin, or inhaled as aromatherapy.    However, the undiluted oil is  LIKELY UNSAFE  to take by mouth. Taking large amounts of rosemary can cause vomiting, uterine bleeding, kidney irritation, increased sun sensitivity, skin redness, and allergic reactions.     "
rosinweed,It is not known if rosinweed is safe or what the possible side effects might be.  
royal-jelly,"Royal jelly is  POSSIBLY SAFE  for most people when taken by mouth appropriately. A specific product containing a combination of royal jelly, bee pollen extract, and bee pollen plus pistol extract (Femal by Natumin Pharma) has been used safely for up to 2 months. Another combination product containing royal jelly and flower pollen (Melbrosia) has been used safely for up to 3 months. Royal jelly might cause serious allergic reactions including asthma, swelling of the throat, and death. Rarely, it might cause the colon to bleed, accompanied by stomach pain and bloody diarrhea.    Royal jelly is also  POSSIBLY SAFE  when applied to the skin appropriately. However, it has caused inflammation and allergic rash when applied to the scalp.     "
rue,"Rue is considered safe when consumed in food amounts. It is  UNSAFE  when used as a medicine. When taken by mouth, it can cause side effects such as stomach irritation, changes in mood,  sleep  problems,  dizziness , spasms, serious  kidney  and  liver  damage, and death. When applied to the skin, it can cause  rash  and increased sensitivity to the sun.  "
rupturewort,There isn't enough information available to know if rupturewort is safe or what the possible side effects might be.  
rusty-leaved-rhododendron,"Rusty-leaved rhododendron is  UNSAFE . The entire plant is considered poisonous. Taking rusty-leaved rhododendron can cause weakness,  dizziness ,  nausea , vomiting,  low blood pressure , slow heartbeat,  irregular heartbeat , and blurred  vision . Symptoms of poisoning include  sweating , impaired consciousness, chills,  fainting , shock,  seizure , cardiac and respiratory arrest, severe stupor, and possibly death.  "
rutin,"Rutin is  LIKELY SAFE  when taken by mouth in amounts found in fruits and vegetables. Rutin is  POSSIBLY SAFE  when taken by mouth appropriately in medicinal amounts for a short period of time or when applied on the skin. It can cause some side effects including headache, flushing, rashes, or stomach upset.    
 "
rye-grass,"Rye grass seems safe for most people. It can cause side effects such as  stomach  swelling (distention),  heartburn , and  nausea .  "
